ptn	mDataSize	Pointer	p->Busy	p->Index	p->IndexTable	p->Pointer	p->Size	p->Next	p->Prev	Dbg_Count
0	88	41e0740	1	64	20440	1ee7280	547	0	41e0078	344
0	88	41e0078	1	2	18670	1ec1210	1770	41e0740	41e0094	344
0	88	41e0094	1	3	16898	1e9b0f0	1772	41e0078	41e00b0	344
0	88	41e00b0	1	4	14581	1e69478	2317	41e0094	41e00cc	344
0	88	41e00cc	1	5	13001	1e47558	1580	41e00b0	41e00e8	344
0	88	41e00e8	1	6	11379	1e247c8	1622	41e00cc	41e0104	344
0	88	41e0104	1	7	9458	1dfb370	1921	41e00e8	41e0120	344
0	88	41e0120	1	8	7290	1dcca30	2168	41e0104	41e013c	344
0	88	41e013c	1	9	5520	1da69c0	1770	41e0120	41e0158	344
0	88	41e0158	1	10	4088	1d87d80	1432	41e013c	41e0174	344
0	88	41e0174	1	11	1968	1d5a4c0	2120	41e0158	41e0040	344
0	88	41e0040	1	0	0	1d30040	1968	41e0174	41e0724	344
0	88	41e0724	1	63	114133	26c4178	1770	41e0040	41e0708	344
0	88	41e0708	1	62	112378	269e630	1755	41e0724	41e06ec	344
0	88	41e06ec	1	61	110383	2673868	1995	41e0708	41e06d0	344
0	88	41e06d0	1	60	108613	264d7f8	1770	41e06ec	41e06b4	344
0	88	41e06b4	1	59	106843	2627788	1770	41e06d0	41e0698	344
0	88	41e0698	1	58	104924	25fe3e0	1919	41e06b4	41e067c	344
0	88	41e067c	1	57	102946	25d3bf0	1978	41e0698	41e0660	344
0	88	41e0660	1	56	101323	25b0e08	1623	41e067c	41e0644	344
0	88	41e0644	1	55	99553	258ad98	1770	41e0660	41e0628	344
0	88	41e0628	1	54	97434	255d530	2119	41e0644	41e060c	344
0	88	41e060c	1	53	95465	2533058	1969	41e0628	41e05f0	344
0	88	41e05f0	1	52	94033	2514418	1432	41e060c	41e05d4	344
0	88	41e05d4	1	51	92263	24ee3a8	1770	41e05f0	41e05b8	344
0	88	41e05b8	1	50	89946	24bc730	2317	41e05d4	41e059c	344
0	88	41e059c	1	49	88174	2496610	1772	41e05b8	41e0580	344
0	88	41e0580	1	48	86419	2470ac8	1755	41e059c	41e0564	344
0	88	41e0564	1	47	84823	244e628	1596	41e0580	41e0548	344
0	88	41e0548	1	46	82655	241fce8	2168	41e0564	41e052c	344
0	88	41e052c	1	45	80883	23f9bc8	1772	41e0548	41e0510	344
0	88	41e0510	1	44	79113	23d3b58	1770	41e052c	41e04f4	344
0	88	41e04f4	1	43	77184	23aa440	1929	41e0510	41e04d8	344
0	88	41e04d8	1	42	75364	23832a0	1820	41e04f4	41e04bc	344
0	88	41e04bc	1	41	73592	235d180	1772	41e04d8	41e04a0	344
0	88	41e04a0	1	40	71822	2337110	1770	41e04bc	41e0484	344
0	88	41e0484	1	39	69505	2305498	2317	41e04a0	41e0468	344
0	88	41e0468	1	38	68073	22e6858	1432	41e0484	41e044c	344
0	88	41e044c	1	37	66301	22c0738	1772	41e0468	41e0430	344
0	88	41e0430	1	36	64382	2297390	1919	41e044c	41e0414	344
0	88	41e0414	1	35	62214	2268a50	2168	41e0430	41e03f8	344
0	88	41e03f8	1	34	60459	2242f08	1755	41e0414	41e03dc	344
0	88	41e03dc	1	33	59011	2223d48	1448	41e03f8	41e03a4	344
0	88	41e03a4	1	31	56892	21f64e0	2119	41e03dc	41e03c0	344
0	88	41e03c0	1	32	116971	2701108	1968	41e03a4	41e0388	344
0	88	41e0388	1	30	55122	21d0470	1770	41e03c0	41e036c	344
0	88	41e036c	1	29	53542	21ae550	1580	41e0388	41e0350	344
0	88	41e0350	1	28	51372	217fb60	2170	41e036c	41e0334	344
0	88	41e0334	1	27	49602	2159af0	1770	41e0350	41e0318	344
0	88	41e0318	1	26	47832	2133a80	1770	41e0334	41e02fc	344
0	88	41e02fc	1	25	45912	210a680	1920	41e0318	41e02e0	344
0	88	41e02e0	1	24	44082	20e3170	1830	41e02fc	41e02c4	344
0	88	41e02c4	1	23	42312	20bd100	1770	41e02e0	41e02a8	344
0	88	41e02a8	1	22	40542	2097090	1770	41e02c4	41e028c	344
0	88	41e028c	1	21	38422	20697d0	2120	41e02a8	41e0270	344
0	88	41e0270	1	20	36469	203f878	1953	41e028c	41e0254	344
0	88	41e0254	1	19	35022	2020710	1447	41e0270	41e0238	344
0	88	41e0238	1	18	33252	1ffa6a0	1770	41e0254	41e021c	344
0	88	41e021c	1	17	30933	1fc8978	2319	41e0238	41e0200	344
0	88	41e0200	1	16	29163	1fa2908	1770	41e021c	41e01e4	344
0	88	41e01e4	1	15	27583	1f809e8	1580	41e0200	41e01c8	344
0	88	41e01c8	1	14	25812	1f5a920	1771	41e01e4	41e01ac	344
0	88	41e01ac	1	13	23642	1f2bf30	2170	41e01c8	41e0190	344
0	88	41e0190	1	12	21872	1f05ec0	1770	41e01ac	0	344
